date,season_hour,year_hour,month_hour,hour,holiday_hour,weekday_hour,workingday_hour,weather_situation_hour,temperature_hour,atemp_hour,humidity_hour,windspeed_hour,casual_hour,registered_hour,count_cr_hour,season_day,year_day,month_day,holiday_day,weekday_day,workingday_day,weather_situation_day,temperature_day,atemp_day,humidity_day,windspeed_day,casual_day,registered_day,count_cr_day,date_month
2011-01-01,Spring,2011,Jan,0,0,Saturday,No,Clear,9.84,14.395,81.0,0.0,3,13,16,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,1,0,Saturday,No,Clear,9.02,13.635,80.0,0.0,8,32,40,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,2,0,Saturday,No,Clear,9.02,13.635,80.0,0.0,5,27,32,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,3,0,Saturday,No,Clear,9.84,14.395,75.0,0.0,3,10,13,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,4,0,Saturday,No,Clear,9.84,14.395,75.0,0.0,0,1,1,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,5,0,Saturday,No,Misty,9.84,12.879999999999999,75.0,6.0032,0,1,1,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,6,0,Saturday,No,Clear,9.02,13.635,80.0,0.0,2,0,2,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,7,0,Saturday,No,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,8,0,Saturday,No,Clear,9.84,14.395,75.0,0.0,1,7,8,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,9,0,Saturday,No,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,10,0,Saturday,No,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,11,0,Saturday,No,Clear,14.76,16.665,81.0,19.0012,26,30,56,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,12,0,Saturday,No,Clear,17.22,21.21,77.0,19.0012,29,55,84,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,13,0,Saturday,No,Misty,18.86,22.725,72.0,19.999499999999998,47,47,94,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,14,0,Saturday,No,Misty,18.86,22.725,72.0,19.0012,35,71,106,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,15,0,Saturday,No,Misty,18.04,21.97,77.0,19.999499999999998,40,70,110,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,16,0,Saturday,No,Misty,17.22,21.21,82.0,19.999499999999998,41,52,93,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,17,0,Saturday,No,Misty,18.04,21.97,82.0,19.0012,15,52,67,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,18,0,Saturday,No,Light_rainsnow,17.22,21.21,88.0,16.997899999999998,9,26,35,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,19,0,Saturday,No,Light_rainsnow,17.22,21.21,88.0,16.997899999999998,6,31,37,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,20,0,Saturday,No,Misty,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,21,0,Saturday,No,Misty,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,22,0,Saturday,No,Misty,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-01,Spring,2011,Jan,23,0,Saturday,No,Misty,18.86,22.725,88.0,19.999499999999998,15,24,39,Spring,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2011-01
2011-01-02,Spring,2011,Jan,0,0,Sunday,No,Misty,18.86,22.725,88.0,19.999499999999998,4,13,17,Spring,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,2011-01
2011-01-02,Spring,2011,Jan,1,0,Sunday,No,Misty,18.04,21.97,94.0,16.997899999999998,1,16,17,Spring,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,2011-01
2011-01-02,Spring,2011,Jan,2,0,Sunday,No,Misty,17.22,21.21,100.0,19.0012,1,8,9,Spring,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,2011-01
2011-01-02,Spring,2011,Jan,3,0,Sunday,No,Misty,18.86,22.725,94.0,12.998000000000001,2,4,6,Spring,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,2011-01
2011-01-02,Spring,2011,Jan,4,0,Sunday,No,Misty,18.86,22.725,94.0,12.998000000000001,2,1,3,Spring,2011,Jan,0,Sunday,No,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,2011-01
